,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.11,2.28,4.5600000000000005,4.5600000000000005,8.16,8.16,8.16
Reserves,3.14,3.51,1.37,1.5,4.5600000000000005,,5.04
Borrowings,1.34,0.01,0.95,1.14,3.39,,2.0
Other Liabilities,5.0,3.84,3.33,8.25,3.43,,2.87
Total Liabilities,11.59,9.64,10.21,15.45,19.54,,18.07
Fixed Assets,0.04,0.05,0.03,0.03,0.02,,0.06
CWIP,0.0,0.0,0.0,0.0,0.0,,0.0
Investments,0.34,0.36,0.0,0.0,0.0,,0.0
Other Assets,11.21,9.23,10.18,15.42,19.52,,18.01
Total Assets,11.59,9.64,10.21,15.45,19.54,,18.07
