,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.26
Reserves,0.0,0.0,4.05,4.14,4.26,3.86,3.89,4.28,5.74,4.03
Borrowings,0.01,0.01,3.22,3.45,5.49,4.66,5.32,5.58,4.25,13.72
Other Liabilities,-0.01,-0.01,4.48,4.73,2.91,2.77,2.8200000000000003,3.69,19.09,17.93
Total Liabilities,0.01,0.01,21.75,22.32,22.66,21.29,22.03,23.55,39.08,48.18
Fixed Assets,0.0,0.0,10.24,10.18,10.13,10.08,10.06,10.19,10.16,10.15
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,1.15,1.7000000000000002,1.7000000000000002,1.7000000000000002
Other Assets,0.01,0.01,11.51,12.14,12.53,11.21,10.82,11.66,27.22,36.33
Total Assets,0.01,0.01,21.75,22.32,22.66,21.29,22.03,23.55,39.08,48.18
