,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,161,161,161,161,161,161,161,161,161,161,161,162.0
Reserves,51,88,191,237,329,687,886,1048,1661,2269,2691,3113.0
Preference Capital,50,0,0,0,0,0,0,0,0,0,0,
Borrowings,220,317,227,173,395,677,452,1657,3630,7846,9408,12423.0
Other Liabilities,409,1006,784,826,1162,1349,3165,1576,2729,3370,3308,5061.0
Total Liabilities,840,1573,1363,1397,2047,2874,4665,4443,8181,13646,15569,20759.0
Fixed Assets,33,35,35,35,35,38,44,198,161,184,258,355.0
CWIP,3,2,4,2,3,4,4,8,8,14,31,32.0
Investments,3,100,1,1,2,4,3,2,3,11,8,10.0
Other Assets,802,1436,1323,1358,2008,2828,4614,4234,8009,13438,15272,20362.0
Total Assets,840,1573,1363,1397,2047,2874,4665,4443,8181,13646,15569,20759.0
