,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,81.49,150.86,76.92,67.39,107.59,146.46,104.4,55.81,95.8,146.51,116.96,62.58
Expenses,79.1,140.65,75.31,65.28,101.74,138.44,100.4,56.01,92.15,136.86,113.85,61.61
Operating Profit,2.39,10.21,1.61,2.11,5.85,8.02,4.0,-0.2,3.65,9.65,3.11,0.97
OPM %,2.93,6.77,2.09,3.13,5.44,5.48,3.83,-0.36,3.81,6.59,2.66,1.55
Other Income,0.06,0.03,0.05,0.01,0.0,0.04,0.01,0.02,0.1,0.02,0.0,0.84
Interest,0.4,0.66,0.54,0.54,0.69,0.82,0.73,0.56,0.94,0.72,0.74,0.65
Depreciation,1.16,1.5,1.18,1.33,1.37,1.6,1.18,1.46,1.4,1.38,1.22,1.34
Profit before tax,0.89,8.08,-0.06,0.25,3.79,5.64,2.1,-2.2,1.41,7.57,1.15,-0.18
Tax %,22.47,13.12,-50.0,20.0,25.86,27.84,29.05,22.27,26.24,28.01,35.65,44.44
Net Profit,0.69,7.0,-0.08,0.2,2.81,4.07,1.49,-1.71,1.04,5.46,0.73,-0.1
EPS in Rs,0.51,5.22,-0.06,0.15,2.1,3.04,1.11,-1.28,0.78,4.07,0.54,-0.07
