,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,27.68,23.24,20.32,1.56,0.67,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Expenses,24.89,20.48,19.67,15.19,1.93,1.27,0.06,1.02,0.17,0.07,0.04,0.12,0.14
Operating Profit,2.79,2.76,0.65,-13.63,-1.26,-1.16,-0.06,-1.02,-0.17,-0.07,-0.04,-0.12,-0.14
OPM %,10.08,11.88,3.2,-873.72,-188.06,-1054.55,,,,,,,
Other Income,0.19,0.2,0.1,0.1,0.01,0.88,0.85,2.25,0.14,0.12,0.61,0.43,0.45
Interest,2.34,2.47,2.53,1.61,0.99,0.57,0.48,0.07,0.08,0.07,0.03,0.00,0.0
Depreciation,0.3,0.31,0.31,0.22,0.18,0.15,0.10,0.02,0.02,0.02,0.03,0.01,0.0
Profit before tax,0.34,0.18,-2.09,-15.36,-2.42,-1.0,0.21,1.14,-0.13,-0.04,0.51,0.30,0.31
Tax %,-5.88,-11.11,23.44,-1.24,0.0,0.0,0.00,41.23,292.31,0.00,0.00,0.00,
Net Profit,0.37,0.2,-1.6,-15.55,-2.42,-1.0,0.21,0.66,0.26,-0.03,0.51,0.30,0.31
EPS in Rs,1.75,0.95,-7.57,-73.52,-11.44,-4.73,0.99,3.12,1.23,-0.14,2.41,1.42,1.47
