,Mar 2022,Mar 2023,TTM
Sales,0,260.0,268
Expenses,0,260.0,259
Operating Profit,-0,-0.0,9
OPM %,,-0.0,3
Other Income,0,0.0,1
Interest,0,6.0,5
Depreciation,0,5.0,5
Profit before tax,-0,-11.0,0
Tax %,0,-2.0,
Net Profit,-0,-11.0,-0
EPS in Rs,,-2.09,-0.17
