,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,13,13
Reserves,0,67,120
Borrowings,0,57,18
Other Liabilities,0,82,73
Total Liabilities,0,219,242
Fixed Assets,0,45,44
CWIP,0,1,0
Investments,0,0,0
Other Assets,0,174,198
Total Assets,0,219,242
