,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.0,0.0,54.67,64.44,69.59,70.8,61.68,65.82
Expenses,0.0,0.0,55.90,63.71,69.66,70.69,57.67,60.91
Operating Profit,0.0,0.0,-1.23,0.73,-0.07,0.11,4.01,4.91
OPM %,,,-2.25,1.13,-0.1,0.16,6.5,7.46
Other Income,0.0,0.0,0.04,0.05,0.1,0.17,0.52,0.13
Interest,0.0,0.0,1.43,1.41,2.12,1.09,1.22,0.65
Depreciation,0.0,0.0,1.19,1.28,1.23,1.21,1.12,1.15
Profit before tax,0.0,0.0,-3.81,-1.91,-3.32,-2.02,2.19,3.24
Tax %,,,0.79,8.9,2.11,-23.76,1.83,-5.56
Net Profit,0.0,0.0,-3.78,-1.74,-3.26,-2.49,2.16,3.43
EPS in Rs,,,,-0.32,-0.6,-0.46,0.34,0.55
