,2023-03-01,2023-06-01,2023-09-01
Sales,16.96,4.33,5.54
Expenses,15.24,3.53,4.62
Operating Profit,1.72,0.8,0.92
OPM %,10.14,18.48,16.61
Other Income,0.03,0.02,0.02
Interest,0.38,0.46,0.47
Depreciation,0.13,0.04,0.02
Profit before tax,1.24,0.32,0.45
Tax %,24.19,28.12,20.0
Net Profit,0.94,0.23,0.35
EPS in Rs,0.13,0.03,0.05
