,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,0.35,0.56,19.92,29.57,41.95,51.47,57.57,58.15,43.48,40.43,40.63
Expenses,0.32,0.37,18.06,26.22,38.22,46.28,52.78,52.62,38.16,35.28,35.69
Operating Profit,0.03,0.19,1.86,3.35,3.73,5.19,4.79,5.53,5.32,5.15,4.94
OPM %,8.57,33.93,9.34,11.33,8.89,10.08,8.32,9.51,12.24,12.74,12.16
Other Income,0.0,0.0,0.05,0.1,0.2,0.1,0.69,0.55,0.14,0.13,0.06
Interest,0.0,0.03,0.59,1.08,1.37,1.65,1.96,2.33,1.97,1.79,1.4
Depreciation,0.0,0.0,0.08,0.27,0.34,0.36,0.41,0.53,0.68,0.62,0.52
Profit before tax,0.03,0.16,1.24,2.1,2.22,3.28,3.11,3.22,2.81,2.87,3.08
Tax %,33.33,31.25,33.06,33.81,34.23,29.27,31.83,25.47,25.62,25.09,29.55
Net Profit,0.02,0.11,0.84,1.39,1.47,2.31,2.12,2.4,2.1,2.16,2.17
EPS in Rs,0.67,3.67,0.56,0.62,0.33,0.44,0.3,0.34,0.28,0.29,0.29
