,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.01,5.97,6.47,7.68,8.55,6.92,6.82,8.25,8.46,4.16,5.86,8.59,8.52
Expenses,6.48,4.82,5.18,6.36,7.09,5.92,5.43,6.2,5.98,3.09,4.41,6.46,6.50
Operating Profit,0.53,1.15,1.29,1.32,1.46,1.0,1.39,2.05,2.48,1.07,1.45,2.13,2.02
OPM %,7.56,19.26,19.94,17.19,17.08,14.45,20.38,24.85,29.31,25.72,24.74,24.8,23.71
Other Income,0.65,0.46,0.93,1.2,1.11,0.93,0.88,1.06,1.39,1.6,1.26,1.01,2.39
Interest,0.03,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06
Depreciation,0.11,0.09,0.19,0.14,0.15,0.13,0.14,0.19,0.17,0.1,0.1,0.12,0.17
Profit before tax,1.04,1.51,2.02,2.37,2.41,1.8,2.13,2.92,3.7,2.57,2.61,3.0,4.18
Tax %,35.58,35.1,30.69,29.54,31.54,31.67,24.88,15.75,24.05,22.18,26.82,24.33,
Net Profit,0.67,0.98,1.4,1.68,1.65,1.22,1.59,2.46,2.81,2.0,1.91,2.27,3.19
EPS in Rs,16.75,24.5,35.0,42.0,41.25,30.5,39.75,61.5,70.25,50.0,47.75,56.75,79.75
