,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,469.0,514.0,499.0,590.0,604.0,437.0,555.0,759.0,741
Expenses,0,442.0,465.0,457.0,552.0,549.0,369.0,485.0,672.0,662
Operating Profit,0,27.0,49.0,42.0,38.0,56.0,68.0,70.0,87.0,78
OPM %,,6.0,10.0,8.0,6.0,9.0,16.0,13.0,11.0,11
Other Income,0,8.0,-1.0,3.0,3.0,5.0,-16.0,-8.0,8.0,9
Interest,0,17.0,10.0,9.0,8.0,8.0,6.0,5.0,4.0,5
Depreciation,0,5.0,7.0,7.0,7.0,12.0,10.0,11.0,11.0,12
Profit before tax,0,13.0,31.0,30.0,26.0,41.0,35.0,46.0,80.0,70
Tax %,50,20.0,35.0,36.0,35.0,34.0,13.0,25.0,25.0,
Net Profit,0,10.0,21.0,19.0,17.0,27.0,30.0,35.0,59.0,52
EPS in Rs,0.20,1.07,2.17,2.02,1.76,2.87,3.16,3.64,6.26,5.51
