,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,10,10,10,10,10,10,10,10,10
Reserves,1,195,215,233,249,270,301,333,387,413
Borrowings,0,114,72,64,83,74,58,77,54,47
Other Liabilities,0,111,109,137,143,162,179,178,174,185
Total Liabilities,1,430,406,444,484,516,548,597,626,655
Fixed Assets,0,172,190,214,216,230,227,211,204,275
CWIP,0,67,48,32,42,29,29,92,94,20
Investments,0,0,25,20,24,53,107,70,52,115
Other Assets,1,191,143,179,202,203,185,224,276,245
Total Assets,1,430,406,444,484,516,548,597,626,655
