,Mar 2023,TTM
Sales,539.0,2389
Expenses,186.0,168
Operating Profit,352.0,2221
OPM %,65.0,93
Other Income,4289.0,4099
Interest,281.0,75
Depreciation,9.0,9
Profit before tax,4351.0,6237
Tax %,1.0,
Net Profit,4304.0,6146
EPS in Rs,253.41,361.84
