,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,36.64,45.64,47.34,36.21,53.67,58.75,64.32,44.79,44.8,31.95,38.12,33.04,42.12
Expenses,34.15,37.01,37.98,29.47,45.79,51.85,55.36,38.07,47.95,36.26,38.56,33.67,41.32
Operating Profit,2.49,8.63,9.36,6.74,7.88,6.9,8.96,6.72,-3.15,-4.31,-0.44,-0.63,0.8
OPM %,6.8,18.91,19.77,18.61,14.68,11.74,13.93,15.0,-7.03,-13.49,-1.15,-1.91,1.9
Other Income,0.04,0.11,0.06,0.13,0.15,0.16,0.25,0.16,0.16,0.2,0.19,0.22,0.16
Interest,0.94,0.41,0.26,0.23,0.15,0.23,0.34,0.61,0.14,0.15,0.05,0.04,0.28
Depreciation,1.38,1.38,1.54,1.38,1.4,1.42,1.51,1.42,1.43,1.65,1.55,1.63,1.7
Profit before tax,0.21,6.95,7.62,5.26,6.48,5.41,7.36,4.85,-4.56,-5.91,-1.85,-2.08,-1.02
Tax %,-80.95,20.72,33.33,26.81,26.7,26.06,31.25,27.22,27.41,7.28,-2.16,10.1,11.76
Net Profit,0.38,5.51,5.09,3.86,4.75,4.0,5.06,3.52,-3.31,-5.47,-1.9,-1.88,-0.9
EPS in Rs,0.44,6.38,5.89,4.47,5.5,4.63,5.86,4.07,-3.83,-6.33,-2.2,-2.18,-1.04
