,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,170,169.0,175.0,164.0,139.0,213.0,159.0,145
Expenses,0.0,148,153.0,156.0,152.0,119.0,183.0,161.0,150
Operating Profit,0.0,21,16.0,20.0,12.0,20.0,30.0,-2.0,-5
OPM %,,13,10.0,11.0,7.0,15.0,14.0,-1.0,-3
Other Income,0.0,0,1.0,1.0,0.0,0.0,1.0,1.0,1
Interest,0.0,6,6.0,8.0,6.0,3.0,1.0,1.0,1
Depreciation,0.0,5,5.0,5.0,5.0,6.0,6.0,6.0,7
Profit before tax,0.0,10,6.0,8.0,2.0,12.0,24.0,-7.0,-11
Tax %,,57,35.0,13.0,24.0,30.0,28.0,4.0,
Net Profit,0.0,4,4.0,7.0,1.0,9.0,18.0,-7.0,-10
EPS in Rs,,,4.48,7.64,1.32,9.89,20.44,-8.29,-11.75
