,2023-09-01
Depreciation,0.04
EPS in Rs,0.57
Expenses,40.37
Interest,0.77
Net Profit,0.54
OPM %,3.56
Operating Profit,1.49
Other Income,0.05
Profit before tax,0.73
Sales,41.86
Tax %,24.66
