,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,62.84,73.36,47.13,94.65,80.85
Expenses,61.66,72.89,45.78,91.76,78.39
Operating Profit,1.18,0.47,1.35,2.89,2.46
OPM %,1.88,0.64,2.86,3.05,3.04
Other Income,0.55,0.91,0.03,0.16,0.66
Interest,0.86,0.93,0.96,0.98,1.46
Depreciation,0.38,0.16,0.13,0.12,0.11
Profit before tax,0.49,0.29,0.29,1.95,1.55
Tax %,16.33,-10.34,34.48,38.46,24.52
Net Profit,0.43,0.32,0.19,1.19,1.18
EPS in Rs,24.6,18.31,10.87,68.08,1.26
