,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.75,1.75,1.75,1.75,9.4,9.4
Reserves,0.26,0.58,0.77,1.96,7.51,8.06
Borrowings,7.58,9.34,10.03,11.8,12.92,12.68
Other Liabilities,7.79,9.51,9.63,10.03,9.21,8.53
Total Liabilities,17.38,21.18,22.18,25.54,39.04,38.67
Fixed Assets,1.1,1.13,1.06,0.89,0.78,0.74
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.8,0.8,0.8,0.8,0.8,0.8
Other Assets,15.48,19.25,20.32,23.85,37.46,37.13
Total Assets,17.38,21.18,22.18,25.54,39.04,38.67
