,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1100.0,1280.0,2169.0,2555.0,3044.0,3520.0,3479.0,3369
Expenses,999.0,1132.0,1925.0,2317.0,2634.0,3129.0,3255.0,3193
Operating Profit,100.0,148.0,244.0,238.0,410.0,391.0,224.0,176
OPM %,9.0,12.0,11.0,9.0,13.0,11.0,6.0,5
Other Income,9.0,23.0,12.0,32.0,64.0,33.0,24.0,50
Interest,9.0,4.0,25.0,39.0,28.0,13.0,20.0,40
Depreciation,40.0,47.0,68.0,97.0,109.0,116.0,111.0,116
Profit before tax,60.0,120.0,163.0,134.0,337.0,295.0,117.0,70
Tax %,33.0,33.0,38.0,21.0,23.0,29.0,17.0,
Net Profit,40.0,81.0,101.0,106.0,260.0,210.0,97.0,59
EPS in Rs,53.53,108.21,135.72,141.68,346.68,280.07,128.82,78.58
