,2016-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7,7,8,8,8,8,8,8
Reserves,454,559,630,735,988,1159,1236,1256
Borrowings,159,67,669,741,431,313,432,427
Other Liabilities,290,386,669,671,687,744,689,745
Total Liabilities,910,1019,1975,2154,2113,2223,2364,2435
Fixed Assets,508,492,1081,1120,1156,1131,1218,1186
CWIP,11,49,32,35,14,26,33,42
Investments,7,121,1,18,33,3,2,1
Other Assets,383,357,861,982,911,1062,1112,1207
Total Assets,910,1019,1975,2154,2113,2223,2364,2435
