,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,494.0,829.0,786.0,862.0,1094.0,1075.0,998
Expenses,457.0,771.0,730.0,796.0,1015.0,1010.0,956
Operating Profit,38.0,57.0,55.0,67.0,79.0,65.0,42
OPM %,8.0,7.0,7.0,8.0,7.0,6.0,4
Other Income,1.0,1.0,1.0,2.0,1.0,2.0,7
Interest,9.0,13.0,12.0,10.0,13.0,13.0,10
Depreciation,12.0,17.0,20.0,12.0,14.0,19.0,20
Profit before tax,17.0,28.0,24.0,47.0,53.0,36.0,19
Tax %,24.0,19.0,24.0,27.0,26.0,25.0,
Net Profit,15.0,23.0,19.0,35.0,39.0,27.0,14
EPS in Rs,24.37,36.01,26.18,49.13,9.2,5.4,2.79
