,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,258.52,316.99,294.12,310.34,202.25,268.72,253.83,273.34
Expenses,242.42,291.85,282.94,279.0,189.05,259.88,244.03,263.49
Operating Profit,16.1,25.14,11.18,31.34,13.2,8.84,9.8,9.85
OPM %,6.23,7.93,3.8,10.1,6.53,3.29,3.86,3.6
Other Income,0.1,0.14,0.23,0.06,0.14,1.84,2.73,2.11
Interest,2.87,3.77,3.3,4.12,3.1,2.55,2.75,1.33
Depreciation,3.67,3.76,4.29,4.07,4.39,5.86,4.85,4.76
Profit before tax,9.66,17.75,3.82,23.21,5.85,2.27,4.93,5.87
Tax %,28.26,27.21,18.06,25.85,21.71,29.52,23.53,33.22
Net Profit,6.93,12.92,3.13,17.21,4.59,1.6,3.77,3.92
EPS in Rs,1.63,3.03,0.74,4.04,0.92,0.32,0.76,0.79
