,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6,5,7,7,20,24,24
Reserves,139,185,202,255,283,469,473
Borrowings,62,86,70,114,103,78,31
Other Liabilities,71,109,84,132,127,163,155
Total Liabilities,278,385,363,508,533,734,683
Fixed Assets,84,122,134,161,188,232,230
CWIP,2,0,0,0,0,0,3
Investments,26,13,24,14,1,27,1
Other Assets,165,250,205,333,343,475,448
Total Assets,278,385,363,508,533,734,683
