,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,21,23,26,27,27,27,27,27,27,27
Reserves,325,450,689,895,1044,1545,2319,3311,4063,4315
Borrowings,545,529,724,987,1187,1107,590,315,73,67
Other Liabilities,235,295,350,684,677,538,630,779,967,859
Total Liabilities,1125,1296,1789,2592,2935,3217,3567,4432,5129,5268
Fixed Assets,549,594,586,588,1716,1832,1864,1963,1942,1991
CWIP,44,36,349,955,34,172,220,122,301,479
Investments,3,87,118,32,2,2,189,439,379,521
Other Assets,530,580,736,1018,1183,1210,1293,1908,2508,2277
Total Assets,1125,1296,1789,2592,2935,3217,3567,4432,5129,5268
