,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,37.7,1.78,1.02,1.4,44.38,2.09,0.7,1.14,20.36,1.17,0.77
Expenses,36.4,2.19,1.99,0.76,42.88,4.43,0.78,1.94,21.49,1.83,0.97
Operating Profit,1.3,-0.41,-0.97,0.64,1.5,-2.34,-0.08,-0.8,-1.13,-0.66,-0.2
OPM %,3.45,-23.03,-95.1,45.71,3.38,-111.96,-11.43,-70.18,-5.55,-56.41,-25.97
Other Income,2.06,0.87,0.01,0.16,1.39,5.16,0.92,1.05,-0.4,0.52,0.61
Interest,0.08,0.01,0.04,0.07,0.03,0.0,0.01,0.0,0.24,0.04,0.04
Depreciation,1.65,0.4,0.31,0.31,0.36,0.23,0.19,0.17,0.66,0.28,0.28
Profit before tax,1.63,0.05,-1.31,0.42,2.5,2.59,0.64,0.08,-2.43,-0.46,0.09
Tax %,34.36,20.0,-4.58,0.0,18.8,28.57,42.19,37.5,20.58,0.0,-211.11
Net Profit,1.06,0.03,-1.37,0.41,2.04,1.85,0.36,0.06,-1.93,-0.46,0.27
EPS in Rs,0.43,0.01,-0.5,0.14,0.58,0.56,0.11,0.02,-0.53,-0.13,0.07
