,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,37.69,48.58,24.29,23.44
Expenses,36.38,47.8,28.64,26.23
Operating Profit,1.31,0.78,-4.35,-2.79
OPM %,3.48,1.61,-17.91,-11.90
Other Income,2.06,2.43,6.74,1.78
Interest,0.1,0.17,0.26,0.32
Depreciation,1.65,1.39,1.25,1.39
Profit before tax,1.62,1.65,0.88,-2.72
Tax %,34.57,32.73,61.36,
Net Profit,1.05,1.11,0.34,-2.06
EPS in Rs,0.43,0.33,0.1,-0.57
