,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.01,25.54,4.24,1.7,1.64,1.44,1.95,2.03,0.9,0.9,0.82,1.03,1.07
Expenses,1.3,24.36,3.56,0.75,0.67,1.34,0.87,0.6,7.49,7.25,1.14,0.51,0.56
Operating Profit,-0.29,1.18,0.68,0.95,0.97,0.1,1.08,1.43,-6.59,-6.35,-0.32,0.52,0.51
OPM %,-28.71,4.62,16.04,55.88,59.15,6.94,55.38,70.44,-732.22,-705.56,-39.02,50.49,47.66
Other Income,0.03,0.43,0.0,0.0,0.0,0.0,0.0,0.1,0.21,0.08,0.34,3.88,0.95
Interest,0.01,0.18,0.14,0.17,0.19,0.11,0.16,0.16,0.14,0.1,0.02,0.0,0.00
Depreciation,0.23,0.17,0.06,0.05,0.02,0.17,0.0,0.0,0.0,0.0,0.00,0.0,0.00
Profit before tax,-0.5,1.26,0.48,0.73,0.76,-0.18,0.92,1.37,-6.52,-6.37,0.00,4.4,1.46
Tax %,4.0,2.38,0.0,0.0,0.0,-105.56,42.39,5.11,-0.61,-0.31,,0.0,
Net Profit,-0.48,1.22,0.48,0.73,0.77,-0.37,0.52,1.29,-6.56,-6.4,-0.01,4.39,1.45
EPS in Rs,-0.03,0.08,0.03,0.05,0.05,-0.02,0.03,0.09,-0.43,-0.42,-0.00,0.29,0.10
