,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.02,0.07,0.46,0.27,0.20,22.83,19.88,23.32,27.54,29.1,34.63,43.81,44.86
Expenses,0.29,0.37,0.38,0.46,0.53,22.96,19.32,22.7,26.24,27.11,33.26,40.66,41.53
Operating Profit,-0.27,-0.30,0.08,-0.19,-0.33,-0.13,0.56,0.62,1.3,1.99,1.37,3.15,3.33
OPM %,-1350.00,-428.57,17.39,-70.37,-165.00,-0.57,2.82,2.66,4.72,6.84,3.96,7.19,7.42
Other Income,1.04,1.03,-0.17,0.04,0.00,0.33,0.62,0.56,0.25,2.19,0.41,0.41,0.41
Interest,0.58,0.57,0.18,0.00,0.00,0.42,0.44,0.38,0.41,0.42,0.56,0.68,0.67
Depreciation,0.13,0.12,0.13,0.01,0.01,0.57,0.68,0.67,0.65,0.76,1.03,1.26,1.29
Profit before tax,0.06,0.04,-0.40,-0.16,-0.34,-0.79,0.06,0.13,0.49,3.0,0.19,1.62,1.78
Tax %,50.00,-850.00,-80.00,-6.25,0.00,7.59,400.0,92.31,2.04,0.0,15.79,29.63,
Net Profit,0.03,0.38,-0.72,-0.17,-0.34,-0.72,-0.17,0.01,0.48,3.01,0.15,1.14,1.43
EPS in Rs,,,,,,,-0.09,0.0,0.17,1.08,0.05,0.41,0.50
