,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,21.91,22.21,21.12,35.7,31.35
Expenses,21.75,21.57,18.71,34.44,31.22
Operating Profit,0.16,0.64,2.41,1.26,0.13
OPM %,0.73,2.88,11.41,3.53,0.41
Other Income,0.81,0.5,0.35,0.25,1.77
Interest,0.51,0.88,0.87,0.65,0.56
Depreciation,0.08,0.06,0.05,0.18,0.18
Profit before tax,0.38,0.2,1.84,0.68,1.16
Tax %,26.32,25.0,32.07,23.53,
Net Profit,0.28,0.15,1.24,0.52,0.99
EPS in Rs,2.09,1.12,2.52,0.72,1.38
