,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,97.62,86.94,205.31,133.63
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,97.62,86.94,205.31,133.63
Working Capital Days,87.29,113.07,174.03,183.22
ROCE %,,9.44,22.09,6.00
