,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,35,35,35,35,35,35,35,35,35,35
Reserves,342,412,539,683,841,1032,1266,1539,1847,1994
Borrowings,451,412,393,348,298,396,289,421,327,243
Other Liabilities,231,250,315,385,389,348,458,602,518,473
Total Liabilities,1060,1109,1283,1452,1563,1812,2049,2597,2728,2745
Fixed Assets,459,436,456,447,519,748,712,760,923,946
CWIP,7,51,10,25,83,66,124,205,139,130
Investments,0,0,0,0,0,6,43,0,0,116
Other Assets,594,623,817,980,962,992,1170,1630,1665,1553
Total Assets,1060,1109,1283,1452,1563,1812,2049,2597,2728,2745
