,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,21,26,27,29,29,33,33,33,32,32,32,33
Reserves,218,289,377,442,440,726,840,843,851,1046,1290,1512
Borrowings,263,511,735,882,957,845,912,993,1233,1618,1333,1561
Other Liabilities,130,204,303,332,433,452,417,361,587,785,1076,1375
Total Liabilities,632,1031,1442,1685,1858,2056,2201,2230,2703,3481,3731,4481
Fixed Assets,249,242,532,947,1024,1076,1114,1175,1240,1473,1693,1990
CWIP,40,347,316,35,50,44,130,219,276,129,91,181
Investments,0,0,0,0,0,0,0,0,0,55,0,11
Other Assets,343,441,594,702,783,936,957,836,1187,1823,1947,2299
Total Assets,632,1031,1442,1685,1858,2056,2201,2230,2703,3481,3731,4481
