,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,264.31,4.95,9.55,42.68,37.89,111.8,57.26,13.28,33.87,9.14,17.81
Inventory Days,256.85,1.97,32.35,19.39,21.47,16.45,16.5,21.19,21.95,23.75,17.86
Days Payable,6.76,0.07,5.34,13.72,0.13,95.65,59.47,12.83,33.71,73.24,35.41
Cash Conversion Cycle,514.4,6.85,36.57,48.35,59.23,32.6,14.29,21.63,22.11,-40.36,0.26
Working Capital Days,1787.24,13.31,37.52,51.92,53.5,34.7,24.27,22.4,-0.96,-24.02,6.15
ROCE %,,6.25,11.98,8.94,13.76,13.64,10.95,7.77,6.54,4.26,3.3
