,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,0.58,54.56,57.69,58.07,58.19,81.62,82.1,87.68,95.36,97.88,75.41
Expenses,0.7,54.49,56.8,57.28,56.71,79.77,80.37,86.24,93.88,96.1,71.5
Operating Profit,-0.12,0.07,0.89,0.79,1.48,1.85,1.73,1.44,1.48,1.78,3.91
OPM %,-20.69,0.13,1.54,1.36,2.54,2.27,2.11,1.64,1.55,1.82,5.18
Other Income,0.38,0.3,0.09,0.06,0.05,0.09,0.1,0.31,0.26,0.24,0.16
Interest,0.0,0.0,0.36,0.52,0.62,0.62,0.7,0.45,0.64,0.39,0.53
Depreciation,0.08,0.08,0.24,0.1,0.2,0.26,0.27,0.44,0.61,1.25,3.52
Profit before tax,0.18,0.29,0.38,0.23,0.71,1.06,0.86,0.86,0.49,0.38,0.02
Tax %,16.67,27.59,31.58,26.09,33.8,32.08,45.35,25.58,22.45,47.37,50.0
Net Profit,0.15,0.22,0.27,0.16,0.47,0.72,0.46,0.65,0.37,0.19,0.02
EPS in Rs,0.71,1.05,1.29,0.76,2.24,0.72,0.46,0.65,0.37,0.19,0.02
