,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.25,1.25,1.25,1.25,1.25,6.0,6.0,10.0,10.0,10.0,10.0,10.0
Reserves,3.28,3.5,3.76,3.92,4.41,4.59,5.03,1.6800000000000002,2.03,2.23,2.3,2.43
Borrowings,0.0,0.0,2.59,4.01,4.63,3.75,3.68,4.75,7.62,5.65,6.17,5.15
Other Liabilities,0.54,0.68,1.61,3.03,2.38,22.11,14.1,5.89,13.77,13.77,12.24,15.2
Total Liabilities,5.07,5.43,9.21,12.21,12.67,36.45,28.81,22.32,33.42,31.65,30.71,32.78
Fixed Assets,0.76,0.73,0.5,0.4,1.56,1.31,1.67,3.15,4.55,20.8,18.18,16.99
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,1.41,4.73,11.82,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,4.31,4.7,8.71,11.81,11.11,35.14,25.73,14.44,17.05,10.85,12.53,15.79
Total Assets,5.07,5.43,9.21,12.21,12.67,36.45,28.81,22.32,33.42,31.65,30.71,32.78
