,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-09-01,2023-09-01
Sales,25.27,62.65,38.33,57.07,38.33,57.07,39.24
Expenses,24.72,61.78,37.65,56.36,37.65,56.36,37.57
Operating Profit,0.55,0.87,0.68,0.71,0.68,0.71,1.67
OPM %,2.18,1.39,1.77,1.24,1.77,1.24,4.26
Other Income,0.12,0.19,0.13,0.12,0.13,0.12,0.16
Interest,0.22,0.21,0.24,0.3,0.24,0.3,0.24
Depreciation,0.25,0.19,0.22,0.39,0.22,0.39,1.47
Profit before tax,0.2,0.66,0.35,0.14,0.35,0.14,0.12
Tax %,90.0,3.03,31.43,0.0,31.43,0.0,-8.33
Net Profit,0.01,0.63,0.23,0.14,0.23,0.14,0.12
EPS in Rs,0.01,0.63,0.23,0.14,0.23,0.14,0.12
