,2017-03-01,2018-03-01,2019-03-01,2019-09-01
Promoters,63.16,62.94,62.85,62.85
FIIs,0.01,0.01,0.01,0.01
DIIs,0.03,0.03,0.03,0.03
Public,36.8,37.03,37.11,37.11
No. of Shareholders,6665.0,6517.0,6436.0,6382.0
