,Mar 2010,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,22.87,32.32,26.51,16.64,25.07,19.52,16.74,27.38,33.65,31.09,38.37,55.8,48.64
Expenses,21.42,30.25,24.34,15.9,22.93,20.71,16.91,24.17,29.42,26.02,32.28,48.16,40.58
Operating Profit,1.45,2.07,2.17,0.74,2.14,-1.19,-0.17,3.21,4.23,5.07,6.09,7.64,8.06
OPM %,6.34,6.4,8.19,4.45,8.54,-6.1,-1.02,11.72,12.57,16.31,15.87,13.69,16.57
Other Income,0.88,0.45,0.16,0.24,0.08,0.37,0.7,0.3,0.75,0.5,0.37,0.61,0.71
Interest,0.25,0.33,0.63,0.09,0.45,1.09,0.89,0.47,0.41,0.24,0.12,0.51,0.25
Depreciation,1.1,1.13,0.91,0.61,1.09,1.79,1.56,1.33,1.27,1.13,0.99,1.57,2.94
Profit before tax,0.98,1.06,0.79,0.28,0.68,-3.7,-1.92,1.71,3.3,4.2,5.35,6.17,5.58
Tax %,50.0,44.34,31.65,17.86,239.71,14.05,-4.17,-10.53,1.52,-7.86,21.68,25.77,
Net Profit,0.49,0.59,0.54,0.23,-0.94,-3.16,-2.0,1.88,3.26,4.54,4.18,4.58,3.77
EPS in Rs,1.63,1.96,1.8,0.77,-3.13,-10.52,-6.66,6.26,10.85,15.11,13.91,15.24,12.55
