,2023-09-01
Depreciation,1.51
EPS in Rs,-7.01
Expenses,6.2
Interest,0.41
Net Profit,-2.53
OPM %,-11.31
Operating Profit,-0.63
Other Income,0.02
Profit before tax,-2.53
Sales,5.57
Tax %,0.0
