,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,27.17,30.97,29.41,32.82,29.66,28.97,31.09,35.0,41.83,30.33,36.84,34.75,43.43
Expenses,17.38,21.85,23.21,21.79,22.89,22.49,24.09,26.93,31.35,26.19,30.0,26.86,34.71
Operating Profit,9.79,9.12,6.2,11.03,6.77,6.48,7.0,8.07,10.48,4.14,6.84,7.89,8.72
OPM %,36.03,29.45,21.08,33.61,22.83,22.37,22.52,23.06,25.05,13.65,18.57,22.71,20.08
Other Income,0.12,0.14,-0.21,0.12,0.25,0.19,0.38,0.32,0.86,0.28,0.49,0.28,0.55
Interest,0.37,0.26,0.4,0.24,0.19,0.18,0.27,0.18,0.17,0.14,0.26,0.29,0.28
Depreciation,0.45,0.45,0.77,0.55,0.55,0.57,0.69,0.6,0.64,0.65,0.71,0.8,0.86
Profit before tax,9.09,8.55,4.82,10.36,6.28,5.92,6.42,7.61,10.53,3.63,6.36,7.08,8.13
Tax %,25.3,25.15,29.88,28.19,20.06,25.17,25.08,24.05,24.98,25.62,26.89,23.73,25.71
Net Profit,6.79,6.41,3.38,7.44,5.01,4.43,4.8,5.78,7.9,2.7,4.64,5.41,6.03
EPS in Rs,8.22,7.76,4.09,9.0,6.06,5.36,5.81,6.99,9.56,3.27,5.61,6.55,7.3
