,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,85.26,99.43,120.72,126.1,112.77,142.98,143.03,92.66,108.08,130.97,111.11,105.7
Inventory Days,279.83,503.66,423.87,498.83,223.42,260.11,249.31,158.21,170.58,222.17,172.07,190.87
Days Payable,118.19,110.11,198.2,184.53,84.06,130.06,135.25,70.78,104.55,120.16,116.45,51.9
Cash Conversion Cycle,246.91,492.97,346.4,440.41,252.14,273.04,257.1,180.09,174.11,232.99,166.73,244.67
Working Capital Days,69.72,150.01,138.17,160.09,129.89,147.81,131.76,121.33,122.96,132.3,124.44,140.06
ROCE %,13.41,7.03,2.66,-0.68,-9.61,-2.83,-4.66,6.02,-7.45,2.75,16.12,11.58
