,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1.58,1.8,1.4,1.6,1.73,1.85,1.66,1.67,1.76,1.91,1.57,1.48
Expenses,1.32,1.62,1.12,1.34,1.24,1.35,1.18,1.34,1.32,1.59,1.36,1.19
Operating Profit,0.26,0.18,0.28,0.26,0.49,0.5,0.48,0.33,0.44,0.32,0.21,0.29
OPM %,16.46,10.0,20.0,16.25,28.32,27.03,28.92,19.76,25.0,16.75,13.38,19.59
Other Income,0.0,0.02,0.01,0.0,0.01,0.07,0.01,0.0,0.02,0.01,0.0,0.0
Interest,0.09,0.09,0.18,0.03,0.02,0.04,0.02,0.02,0.09,0.12,0.02,0.12
Depreciation,0.15,0.08,0.09,0.16,0.2,0.16,0.19,0.19,0.19,0.19,0.15,0.15
Profit before tax,0.02,0.03,0.02,0.07,0.28,0.37,0.28,0.12,0.18,0.02,0.04,0.02
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,0.02,0.03,0.02,0.07,0.28,0.37,0.27,0.11,0.18,0.02,0.04,0.02
EPS in Rs,0.03,0.05,0.03,0.11,0.45,0.6,0.44,0.18,0.29,0.03,0.06,0.03
