,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,2193.0,2457.0,3053.0,3532.0,3657
Expenses,9,655.0,602.0,663.0,874.0,911
Operating Profit,-9,1538.0,1855.0,2390.0,2658.0,2746
OPM %,,70.0,75.0,78.0,75.0,75
Other Income,0,168.0,115.0,132.0,109.0,140
Interest,0,382.0,645.0,829.0,976.0,1016
Depreciation,0,528.0,571.0,796.0,1128.0,1094
Profit before tax,-9,796.0,754.0,896.0,662.0,775
Tax %,0,4.0,7.0,1.0,24.0,
Net Profit,-9,766.0,698.0,888.0,506.0,649
EPS in Rs,-0.12,9.92,7.37,9.37,5.34,6.85
