,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,22904,22912,28826,28826,28826,28826
Reserves,-9,-594,-1733,-2940,-4458,-5049
Borrowings,7847,5746,10656,12136,14842,15631
Other Liabilities,5953,5426,7331,7164,7190,7186
Total Liabilities,36695,33490,45079,45187,46400,46594
Fixed Assets,26756,27007,37428,38878,38466,40207
CWIP,502,411,1371,710,1267,113
Investments,2552,3636,2412,2363,3124,3029
Other Assets,6885,2436,3868,3235,3543,3245
Total Assets,36695,33490,45079,45187,46400,46594
