,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,6,6,13,13,13,13,13,13
Reserves,22,309,325,333,338,339,338,340,341
Borrowings,18,46,41,57,72,70,77,79,84
Other Liabilities,18,120,119,95,101,105,108,98,101
Total Liabilities,60,482,490,497,523,527,536,530,539
Fixed Assets,13,374,379,382,386,390,387,385,384
CWIP,0,1,2,2,10,0,0,0,0
Investments,0,3,6,5,5,7,7,8,8
Other Assets,46,104,104,108,122,129,141,137,147
Total Assets,60,482,490,497,523,527,536,530,539
