,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,54.0,82,62,68,95,99,104,88
Inventory Days,98.0,163,146,157,159,234,197,200
Days Payable,70.0,118,94,27,43,70,62,48
Cash Conversion Cycle,81.0,127,114,198,212,263,239,241
Working Capital Days,79.0,108,82,141,174,220,216,212
ROCE %,,11,8,8,4,2,1,2
