,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,73.26,73.26,73.26,72.37,69.65,69.97
FIIs,0.0,0.0,0.0,6.04,12.45,5.32
Public,26.74,26.74,26.74,21.58,17.9,24.7
No. of Shareholders,92.0,98.0,118.0,118.0,21808.0,64057.0
