,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,127.17,236.08,168.36,286.07,204.63,91.64,130.45,125.88,227.87,388.78
Expenses,125.38,234.38,165.96,282.26,199.35,88.31,124.75,120.95,220.86,382.24
Operating Profit,1.79,1.7,2.4,3.81,5.28,3.33,5.7,4.93,7.01,6.54
OPM %,1.41,0.72,1.43,1.33,2.58,3.63,4.37,3.92,3.08,1.68
Other Income,1.58,0.76,4.94,5.51,0.99,0.3,0.94,2.78,1.02,2.64
Interest,0.72,0.19,0.21,0.56,0.17,0.11,0.12,-0.07,0.12,0.11
Depreciation,0.1,0.12,0.14,0.14,0.11,0.3,0.32,0.33,0.3,0.3
Profit before tax,2.55,2.15,6.99,8.62,5.99,3.22,6.2,7.45,7.61,8.77
Tax %,17.25,26.51,22.75,26.8,25.71,28.57,24.35,24.97,24.57,25.77
Net Profit,2.12,1.57,5.4,6.32,4.45,2.29,4.7,5.6,5.75,6.51
EPS in Rs,0.08,0.06,0.21,0.24,0.17,0.09,0.18,0.21,0.22,0.25
