,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,0,0,0,6,8,8,11,12,12
Reserves,0,0,0,0,2,6,6,23,27,35,194,279
Borrowings,0,0,0,0,0,1,3,7,5,78,520,871
Other Liabilities,1,2,3,4,8,17,18,25,22,76,230,296
Total Liabilities,1,2,2,4,10,24,32,64,61,200,956,1459
Fixed Assets,0,0,0,0,0,1,1,1,1,50,207,414
CWIP,0,0,0,0,0,0,0,0,0,0,7,27
Investments,0,0,0,0,0,0,0,2,0,4,14,75
Other Assets,1,2,2,4,9,23,31,61,60,146,727,943
Total Assets,1,2,2,4,10,24,32,64,61,200,956,1459
