,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,43.2,55.06,60.89,63.28,72.18,74.99,68.3,64.42,52.43,44.01,20.0,22.54,23.73
Expenses,41.65,53.61,58.98,61.42,69.07,70.35,60.72,56.13,48.52,47.3,24.49,19.28,19.60
Operating Profit,1.55,1.45,1.91,1.86,3.11,4.64,7.58,8.29,3.91,-3.29,-4.49,3.26,4.13
OPM %,3.59,2.63,3.14,2.94,4.31,6.19,11.1,12.87,7.46,-7.48,-22.45,14.46,17.40
Other Income,0.17,0.42,0.19,0.23,0.01,0.28,0.0,0.33,0.0,0.36,0.23,0.01,0.03
Interest,0.44,0.68,0.85,0.96,1.13,1.22,1.22,1.39,1.48,1.8,1.52,1.67,1.99
Depreciation,0.34,0.39,0.44,0.61,0.51,0.61,0.76,0.84,0.97,0.92,0.78,0.63,0.58
Profit before tax,0.94,0.8,0.81,0.52,1.48,3.09,5.6,6.39,1.46,-5.65,-6.56,0.97,1.59
Tax %,40.43,42.5,39.51,23.08,18.24,10.36,11.79,14.87,-3.42,2.65,1.52,-5.15,
Net Profit,0.56,0.46,0.5,0.39,1.2,2.77,4.94,5.45,1.5,-5.5,-6.46,1.01,1.54
EPS in Rs,0.21,0.16,0.18,0.14,0.37,0.73,1.26,1.38,0.37,-1.37,-1.61,0.25,0.38
