,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.24,0.2,2.55,14.69,4.98,6.52
Expenses,0.17,0.15,2.33,13.35,3.35,4.17
Operating Profit,0.07,0.05,0.22,1.34,1.63,2.35
OPM %,29.17,25.0,8.63,9.12,32.73,36.04
Other Income,0.0,0.0,0.0,0.0,0.01,0.63
Interest,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.04,0.03,0.02,0.05,0.05,0.08
Profit before tax,0.03,0.02,0.2,1.29,1.59,2.90
Tax %,-33.33,0.0,20.0,25.58,25.16,
Net Profit,0.03,0.01,0.15,0.97,1.19,2.18
EPS in Rs,3.0,1.0,15.0,0.65,0.58,1.07
