,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,111.12,53.93,57.36,66.56,884.62
Inventory Days,0.0,0.15,,,
Days Payable,,60.78,,,
Cash Conversion Cycle,111.12,-6.7,57.36,66.56,884.62
Working Capital Days,-16.06,-1.24,2.21,72.41,981.95
ROCE %,,204.08,107.87,-6.42,0.14
