,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.05,0.05,0.05,6.05,6.05,6.05
Reserves,0.01,0.38,1.77,15.12,15.08,15.2
Borrowings,0.0,0.0,1.31,0.0,0.0,0.0
Other Liabilities,10.78,9.35,15.76,1.62,1.95,2.18
Total Liabilities,10.84,9.78,18.89,22.79,23.08,23.43
Fixed Assets,0.02,0.29,0.27,1.35,1.11,2.2
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.03,0.0,0.0,0.0
Other Assets,10.82,9.49,18.59,21.44,21.97,21.23
Total Assets,10.84,9.78,18.89,22.79,23.08,23.43
