,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,81.25,78.23,19.22,4.0,3.19,14.04
Expenses,79.42,78.59,19.81,4.44,3.36,14.1
Operating Profit,1.83,-0.36,-0.59,-0.44,-0.17,-0.06
OPM %,2.25,-0.46,-3.07,-11.0,-5.33,-0.43
Other Income,0.31,0.09,0.42,0.0,0.75,0.4
Interest,0.0,0.0,0.23,0.0,0.0,0.0
Depreciation,0.05,0.09,0.09,0.13,0.0,0.24
Profit before tax,2.09,-0.36,-0.49,-0.57,0.58,0.1
Tax %,25.36,0.0,-2.04,0.0,8.62,-20.0
Net Profit,1.55,-0.35,-0.49,-0.57,0.53,0.11
EPS in Rs,310.0,-1.15,-0.81,-0.94,0.88,0.18
