,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,30.91,49.88,100.74,97.44,7.2,17.23
Expenses,30.97,49.65,98.83,98.56,7.79,17.46
Operating Profit,-0.06,0.23,1.91,-1.12,-0.59,-0.23
OPM %,-0.19,0.46,1.9,-1.15,-8.19,-1.33
Other Income,0.07,0.3,0.11,0.51,0.75,1.15
Interest,0.00,0.0,0.0,0.06,0.02,0.00
Depreciation,0.01,0.03,0.1,0.17,0.13,0.24
Profit before tax,0.00,0.5,1.92,-0.84,0.01,0.68
Tax %,,26.0,27.08,-1.19,500.0,
Net Profit,0.00,0.37,1.4,-0.85,-0.04,0.64
EPS in Rs,0.00,74.0,280.0,-1.4,-0.07,1.06
