,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,5.66,2.66,0.15,1.81,0.51,2.71,2.09,3.29,2.45
Expenses,4.92,2.65,1.82,2.31,1.59,3.41,2.76,1.87,3.12
Operating Profit,0.74,0.01,-1.67,-0.5,-1.08,-0.7,-0.67,1.42,-0.67
OPM %,13.07,0.38,-1113.33,-27.62,-211.76,-25.83,-32.06,43.16,-27.35
Other Income,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.01
Interest,0.13,0.08,0.1,0.1,0.12,0.09,0.1,0.11,0.11
Depreciation,0.2,0.21,0.17,0.18,0.16,0.16,0.16,0.17,0.17
Profit before tax,0.41,-0.28,-1.94,-0.78,-1.36,-0.91,-0.93,1.14,-0.94
Tax %,24.39,35.71,1.03,32.05,0.0,-7.69,0.0,24.56,0.0
Net Profit,0.31,-0.18,-1.92,-0.53,-1.36,-0.98,-0.93,0.85,-0.93
EPS in Rs,1.03,-0.6,-6.4,-1.77,-4.53,-3.27,-3.1,2.83,-3.1
