,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,73.0,73.0,73.0,73.0,73.0,73.0
Public,27.0,27.0,27.0,27.0,27.0,27.0
No. of Shareholders,95.0,107.0,109.0,117.0,108.0,115.0
