,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,17.0,56,39,51
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,17.0,56,39,51
Working Capital Days,-52.0,-6,-4,21
ROCE %,,34,65,53
