,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,3.71,4.08,4.18,3.92,3.45,4.33,6.24,5.02,4.54,4.83,5.34,4.76,4.94
Expenses,1.61,1.75,2.57,1.47,1.68,1.79,3.5,2.01,1.56,2.01,1.93,1.53,1.95
Operating Profit,2.1,2.33,1.61,2.45,1.77,2.54,2.74,3.01,2.98,2.82,3.41,3.23,2.99
OPM %,56.6,57.11,38.52,62.5,51.3,58.66,43.91,59.96,65.64,58.39,63.86,67.86,60.53
Other Income,0.02,0.05,0.01,0.0,0.05,0.03,-0.05,0.04,0.02,0.04,0.05,0.03,0.02
Interest,0.55,0.52,0.52,0.43,0.55,0.6,0.83,0.68,0.89,0.8,0.96,0.79,0.77
Depreciation,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.06
Profit before tax,1.53,1.82,1.06,1.97,1.22,1.92,1.82,2.32,2.06,2.01,2.45,2.42,2.18
Tax %,24.18,26.37,30.19,24.37,29.51,27.6,33.52,24.57,23.79,18.91,22.86,23.55,30.28
Net Profit,1.17,1.34,0.73,1.49,0.87,1.4,1.2,1.75,1.57,1.62,1.9,1.85,1.52
EPS in Rs,3.39,3.88,2.12,4.32,2.52,4.06,3.48,5.07,4.55,4.7,5.51,5.36,4.41
