,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10.25,10.55,11.12,11.58,12.28,14.28,16.4,14.81,17.35,16.03,17.95,19.82,19.87
Expenses,3.32,2.75,3.31,3.68,4.42,4.71,5.59,5.74,8.43,7.67,8.41,7.49,7.42
Operating Profit,6.93,7.8,7.81,7.9,7.86,9.57,10.81,9.07,8.92,8.36,9.54,12.33,12.45
OPM %,67.61,73.93,70.23,68.22,64.01,67.02,65.91,61.24,51.41,52.15,53.15,62.21,62.66
Other Income,0.01,-0.01,0.01,0.01,0.0,0.0,0.03,0.01,0.0,0.05,0.0,0.04,0.14
Interest,2.49,2.24,2.22,2.25,2.08,2.42,2.92,2.27,2.41,2.22,2.41,3.33,3.32
Depreciation,0.09,0.09,0.1,0.15,0.14,0.16,0.14,0.14,0.14,0.15,0.18,0.2,0.21
Profit before tax,4.36,5.46,5.5,5.51,5.64,6.99,7.78,6.67,6.37,6.04,6.95,8.84,9.06
Tax %,34.4,31.14,32.36,32.3,33.33,33.05,28.53,27.59,24.49,25.83,28.35,22.62,
Net Profit,2.87,3.77,3.73,3.73,3.75,4.67,5.56,4.82,4.82,4.47,4.97,6.84,6.89
EPS in Rs,8.32,10.93,10.81,10.81,10.87,13.54,16.12,13.97,13.97,12.96,14.41,19.83,19.98
