,2012-03-01,2013-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7,7,7,7,7,7,7,7,9,9,9
Reserves,142,159,1335,1481,1594,1694,1781,1883,2117,2233,2286
Borrowings,340,318,287,282,239,458,583,618,747,1114,1047
Other Liabilities,65,73,71,70,55,74,59,63,125,116,135
Total Liabilities,554,558,1700,1840,1895,2233,2431,2572,2997,3472,3476
Fixed Assets,347,319,300,287,275,313,579,562,660,682,968
CWIP,0,2,0,3,6,86,4,10,37,262,21
Investments,39,41,1210,1318,1406,1504,1588,1716,1844,1860,2062
Other Assets,168,196,190,232,207,330,260,283,456,668,426
Total Assets,554,558,1700,1840,1895,2233,2431,2572,2997,3472,3476
