,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,36.03,23.32,30.62,32.97,40.35,42.48,48.33,42.08,33.98,40.33,38.15
Expenses,26.02,16.33,25.78,26.71,32.43,34.89,43.73,36.78,33.64,35.07,35.96
Operating Profit,10.01,6.99,4.84,6.26,7.92,7.59,4.6,5.3,0.34,5.26,2.19
OPM %,27.78,29.97,15.81,18.99,19.63,17.87,9.52,12.6,1.0,13.04,5.74
Other Income,1.42,1.47,7.7,3.69,3.73,2.59,4.77,2.72,5.75,1.43,1.83
Interest,3.38,2.87,2.04,2.61,2.43,2.03,2.86,2.91,1.77,2.71,2.83
Depreciation,4.8,2.4,2.1,2.61,3.61,4.43,6.39,7.05,5.25,5.71,5.86
Profit before tax,3.25,3.19,8.4,4.73,5.61,3.72,0.12,-1.94,-0.93,-1.73,-4.67
Tax %,22.77,-11.29,33.81,29.18,27.63,30.65,-333.33,14.95,101.08,-50.29,
Net Profit,2.52,3.54,5.55,3.35,4.06,2.57,0.52,-1.66,0.01,-2.6,-4.46
EPS in Rs,0.17,0.24,0.38,0.21,0.21,0.13,0.03,-0.09,0.0,-0.14,-0.23
