,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,14.61,14.61,14.61,16.29,19.11,19.11,19.11,19.11,19.11,19.11
Reserves,36.16,35.54,41.1,49.29,64.6,67.12,67.71,66.07,66.1,63.49
Borrowings,19.59,16.99,13.01,19.05,6.73,17.65,13.64,20.72,15.0,18.92
Other Liabilities,10.97,5.51,8.67,13.3,10.4,7.17,17.39,6.57,6.42,8.48
Total Liabilities,81.33,72.65,77.39,97.93,100.84,111.05,117.85,112.47,106.63,110.0
Fixed Assets,41.59,35.35,31.49,37.53,35.4,53.71,60.6,54.69,50.36,50.43
CWIP,0.0,0.13,0.81,19.2,24.12,8.78,2.22,2.49,0.2,0.0
Investments,0.01,0.01,0.02,0.01,1.51,1.56,1.76,2.18,2.33,3.67
Other Assets,39.73,37.16,45.07,41.19,39.81,47.0,53.27,53.11,53.74,55.9
Total Assets,81.33,72.65,77.39,97.93,100.84,111.05,117.85,112.47,106.63,110.0
